train/learning_rate,time/total_timesteps,train/ent_coef,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,train/n_updates,rollout/ep_rew_mean,time/episodes,time/fps,train/actor_loss
0.0003,41195,0.014130039140582085,4123,199.95,0.19253107905387878,1.4382245540618896,41094,191.87250403000002,206,9,-7.274703502655029
0.0003,41395,0.014089253731071949,4143,199.95,0.1793503761291504,-0.30003678798675537,41294,194.38937586,207,9,-6.641951084136963
0.0003,41595,0.014230076223611832,4163,199.95,0.2681785225868225,-4.9752068519592285,41494,195.99618948000003,208,9,-6.539857387542725
0.0003,41795,0.014280498959124088,4183,199.95,0.2472662329673767,2.373497486114502,41694,197.94599212,209,9,-6.9160871505737305
0.0003,41995,0.014256210066378117,4203,199.95,0.19667169451713562,2.814380168914795,41894,200.56187673,210,9,-6.971481800079346
0.0003,42190,0.014489691704511642,4223,199.9,0.2648046016693115,-1.586456060409546,42089,202.46796855,211,9,-6.959986686706543
0.0003,42390,0.01451562438160181,4243,199.9,0.258674681186676,4.15787410736084,42289,204.60756901999997,212,9,-7.636112213134766
0.0003,42590,0.014607556164264679,4263,199.9,0.24213653802871704,-4.137205123901367,42489,206.93258790999997,213,9,-7.187586307525635
0.0003,42790,0.014715014956891537,4283,199.9,0.22778266668319702,2.7437922954559326,42689,209.14624315999998,214,9,-7.153600692749023
0.0003,42990,0.014694751240313053,4303,199.9,0.22194957733154297,0.8953353762626648,42889,210.73423688,215,9,-7.2858781814575195
0.0003,43190,0.014666588976979256,4323,199.9,0.1993236243724823,0.555789589881897,43089,213.30843797,216,9,-7.134225368499756
0.0003,43390,0.014758005738258362,4343,199.9,0.22394141554832458,-2.342876672744751,43289,215.73001153000004,217,9,-7.247159004211426
0.0003,43590,0.014851324260234833,4363,199.9,0.24523669481277466,0.3044748902320862,43489,218.30172643000006,218,9,-7.1827239990234375
0.0003,43790,0.015082566067576408,4383,199.9,0.3528009057044983,-2.879747152328491,43689,220.11282454000008,219,9,-7.335585594177246
0.0003,43990,0.015028908848762512,4403,199.9,0.28257378935813904,-1.0683177709579468,43889,221.43910733000004,220,9,-7.514776706695557
0.0003,44190,0.015017103403806686,4423,199.9,0.3334949016571045,-0.2574009895324707,44089,223.62775056,221,9,-7.198419570922852
0.0003,44390,0.01514077465981245,4443,199.9,0.18487122654914856,3.3979976177215576,44289,226.66588595999997,222,9,-7.82647180557251
0.0003,44590,0.015234987251460552,4463,199.9,0.24396851658821106,1.912419319152832,44489,228.27322604,223,9,-7.445931434631348
0.0003,44790,0.015291012823581696,4483,199.9,0.2651994526386261,-0.009670019149780273,44689,230.27168670999995,224,9,-7.2413201332092285
0.0003,44990,0.015290014445781708,4503,199.9,0.1952940821647644,1.3760470151901245,44889,232.28009769,225,9,-7.922018051147461
0.0003,45190,0.015246440656483173,4523,199.9,0.21366453170776367,5.556064605712891,45089,234.38974259000003,226,9,-7.17216157913208
0.0003,45390,0.015297248028218746,4543,199.9,0.23740144073963165,-3.9091506004333496,45289,235.79434802000003,227,9,-7.379181861877441
0.0003,45590,0.015453762374818325,4563,199.9,0.20379486680030823,2.3127245903015137,45489,237.79815363999998,228,9,-7.617560386657715
0.0003,45790,0.01548254955559969,4583,199.9,0.5071977376937866,-2.342334270477295,45689,239.05062752999999,229,9,-7.6354289054870605
0.0003,45990,0.015523696318268776,4603,199.9,0.20002728700637817,-2.325693130493164,45889,240.31769316999998,230,9,-7.542506217956543
0.0003,46190,0.015603266656398773,4623,199.9,0.19344693422317505,-1.0746326446533203,46089,240.92603909999997,231,9,-7.465431213378906
0.0003,46390,0.015621833503246307,4643,199.9,0.17636027932167053,-0.8285181522369385,46289,242.47289767,232,9,-8.128767967224121
0.0003,46590,0.01568741910159588,4663,199.9,0.30740565061569214,0.45188969373703003,46489,243.1040171,233,9,-8.010478973388672
0.0003,46790,0.01567726396024227,4683,199.9,0.18530452251434326,-0.1713268756866455,46689,244.24681163999998,234,9,-7.983766078948975
0.0003,46990,0.015745213255286217,4703,199.9,0.16647671163082123,2.9276485443115234,46889,245.87837329,235,9,-8.1625394821167
0.0003,47190,0.015824250876903534,4723,199.9,0.19879212975502014,1.1491076946258545,47089,246.50579560999998,236,9,-7.69118070602417
